hash;strengths;weaknesses;complaint;datetime;name;nickname;evaluation_note;date_work;review;recommendation
bfca49c59ebfbd32584e090bdda78db2ed6a254c60cbcbfe753cf0465997cc25;[];['mau resultados'];[];1/23/25 11:33;Camila Loures;@camilaloures;1;2023;"HORRÍVEL. Ela na publi foi a mesma
coisa que nada. Um boneco de posto se
mexendo, roteiro péssimo...";"Gastem seu dinheiro com outra
pessoa"
9fc9a7d2ecc659b7fae255d75110e89be75df0b0074c12a7a6cf92876f2ddd0e;[];['mau resultados'];['não segue briefing'];1/23/25 11:33;Bruna Marquezine;@brunamarquezine;1;2022;"Mal assessorada, faz apenas o mínimo
e muito mal feito. Não lê brief, faz as
entregas completamente
desorganizadas e amadoras, teve publi
que tava acordado para ser às 20h e ela
subiu de madrugada. A assessoria dela
não responde emails, não se atenta nem
ao período de validade contratual. Não
consegue sequer compreender uma
cláusula simples.";"Não contratem, tem fama mas fica
devendo no profissionalismo e
entregas."
66407f522dd4e6df2fb531f405b31b3955b03763929c40286fd223273e173768;[];['mau resultados'];[];1/23/25 11:33;livia nunes;@livia;3;2024;"péssima. equipe desorganizada. não
segue briefing e entrega um conteúdo
bem qualquer coisa. além de números
super baixos.";"não contratem. da para pagar
gente muito mais legal com o
valor que ela cobra com entrega e
resultados mtos melhores."
4c279ec5cf3f69273312fcae650ba47f864f961682798cd37afba82c56a951f6;[];[];[];1/23/25 13:39;Carla Diaz;carladiaz;4;2021;"fAredepqeusaendicartdemente demçãeo  fnaozteárv eulm, s boonmst rtarar empre aboa unalhso dos
produtos folios,a enldao é
mEaprianro uuvcmeioiatsa apdmuorra do contextobealni.  ptAeap rora ob uvremieitfaoin updrao fcisoslliaobn apla, roa marca de

gquaset acor nmfearise  quma cg de cada
psuropjertom. eOrc raedtour eon nool  iqslivdeou excepcional às suasnuaeeldred
.  Eeoibi
rec omenaolre vàme stpeurellpideardea rpermsoopit
dações.orcioe p nead éir
odd ierepestotaoismq fueiceno tmeu  ápcxoroibmpraorn dcdieoon saads aea sB dtaotc uiora
dnvaoi Ll omar teteerxc oparadbroiat.a enntec hqeure a g sausato gue plaadrae irfaaz, er
eo xvtírdaepoo.lando o saldo limite combinado.";
7fba6c76fd67adb116953efbc43f61f76d950650861cf91994d79dc07099afd0;['flexível'];[];[];1/23/25 13:46;Thaiga;@thaigao - IG;6;2024;"ela é muito criativa, entende muito bem
o que diz no breifing e o público que
tem, mas mal assessorada. Antes eu
falava com o Caio, que é um cara super
gente fina e desenrolado, além de
responder rápido, mas agora que ele
não cuida mais da carreira dela... ta
beeeem ruim, só reparar em como ela
muda completamente de segmento e
não tem uma linha coesa no perfil";"A influenciadora é simples de
trabalhar, mas o problema é no
trato para chegar até ela"
35f9624b5e6b3e77ad1805e27313493c6bbc47a043f4b2546366e18a8ab5f298;[];['mau resultados'];[];1/23/25 14:08;Malu Borges;maluborgesm;1;2023;Péssimo, não entregou nada, não sabe;Não contratem
8da0aab91d1a9af0da8635c1e7c3f33ff23c7a5130fd09fdcb0ea196e2a3e6e9;[];[];[];1/23/25 14:08;Ana Clara;@anaclaraac;6;-;sAe pgruimir euimra  bernietrfeingga,  fnoãi om saarabvei lfhaozsear ,;No período do BBB ela dá muito
ef6b22aa3a551b508fb0ed902f5fc9c2b086487e5bc8022bd586a51f05878cb4;[];['inflexível'];[];1/23/25 14:09;Caio Castro;@caiocastro;2;2022;sPeregguuiu o briefing e super colaborou, por ainda!içoso demaaaaaaais. Não seguiu;"engajamento. Talvez ela esteja
Não vale a pena de jeito nenhum"
aa5d626f94498213afd940732deb9718af2635129b5cb5e869f7216833e25171;[];[];[];1/23/25 14:09;Lucas Brobrio;@lucasbrobrio - instagram;9;2023;"oE xbcreielefinngte e d pivaurlegcaidao qr uceu lttiunrhaal,  gsreamvapdreo  o
ccoonntteeúúdentregadoo  cd conoemla  uengteúdmos cajou muito e tivemos
deilfuelraern pteosc kee ct.r iativos,
Prerteocrno. Poréééém, na segunda entrega, sua eisnotrue dgea  véá rreiaasl.  rOe fCaçuõpeosm ( od eq ue não
aad adeisad)e. lSa barrou todas as ideias BRIóO m ée e fxetzre cmhoarmaer ndtee  era eivlaa . eOn tcreognoteuú um conteúdo feijão com conhecido e utildizoa fdicoou horroroso.ssnescotnotus onraiao BRd
Oa";"público dela é bem fiel e ela está
em ascensão."
770283fa01a99f11464456ca61c3557378719913eb25c5bb69e42b4cae01eb1a;[];[];[];1/23/25 14:09;Flávia Pavanelli;@flaviapavanelli;10;2022 / 2023;"cVlii esnotber ep aag Laanrdi oM caanroíseslaim, oe) a,  os iqtuuaeç ão da
iFmlápvaiac téo up anroe ecindgaa. jEamlae én tboe qmu e não foi
ctãoom bpeemte natses,i man cteonmaod ad,a t epmrim beoimra  gvoeszt.o
eMsatés taic ore ec,l aampeasçaãro d ée m searis m paairsa  o time
dreeslae,r vqaudea a, cah gaa qtau ee nfatrzeegnad. oO o p MroÍbNleIMmOa  é
oes ptaavi,a q fuaez efrnedqou eon MteÁmXeInMteO  dmáe smo com
oo rcieancthaêç õaeltso .sem embasamento, mas se
posiciona como especialista em
marketing. Ele é um BIG atraso na vida
dela. Seria um pouco melhor se fosse a
mãe que a acompanhasse, Luciana, que
apesar de não ser da área tem uma
educação impecável e tem ótima
reputação entre os clientes. ATENÇÃO:
A saída da antiga assessora, Débora
Gerardi, foi uma benção para todos, ao
contrário do que saiu nos portais. Ela é
completamente despreparada, vivia
bajulando a Flávia e todas as celebs,
mas era burra e arrogante com os
funcionários, especialmente os de
classe mais baixa. Minha opinião em off:
acho que Débora queria ser famosa e
vivia numa energia de frustração. Era o
cão essa menina. Lamento por todos ali.";"Não sei como está sem a Débora,
mas apostaria que melhorou. Vale
o investimento. Só não espere
muita intimidade: ela costuma ser
reservada, mas entrega direitinho."
1eb98f78e1e93c857748e5815f3e9c2fb7f14e82daa554e895af627726ec03ac;['amigável'];['mau resultados'];[];1/23/25 14:09;Caio Castro;caiocastro;7;2022;"Empresário muito organizado e
desenrolado, cheio de oportunidades
adicionais, porém tudo muito caro.
Qualquer coisa que você pedir para ele
custa múltiplos de R$25-30mil. Não
converteu em venda e nem
engajamento. Tinha agenda bem
complicados. O Caio em sí é muito legal
e humilde. Atualmente custa mais de
60k/mês";"Recomendo anotar tudo que for
combinado e adicionar como
aditivo de contrato. Escrevam
TUDO que for falado em reunião
de fechamento ou a conta vai ficar
cara."
23ea013d6ebac9b30043666cbf71ab4a0c4e00137a643c1168170c82163afce6;[];[];[];1/23/25 14:16;Dragbox;@dragbox;9;2024;"Dcoomisp qroumereidtiodsa!  cNoãmo  acos nehnetrceiag aasté.  então,
fFoizi einmdiocsa çaãlgou dnes  ucomnate aúndaoliss tcao. mE netlrae gpaa ra
pdiofenrteunatl,e ns oc lmieenute csa, seola n seem d teedvieco rue fação,
abatesntadnetme  noo b rreiesfuinltga dpoe.r fFeoitai bmaesntaten,t e
pcoamrcueniriac aeç pãaor tfiáccipila, ztivearo d eunraronltaed toosd,oo
aprdoocreasrisao t.e Gr raa ovapvoart ucnoimda adse  rdoeu ptraasb anlah ar
ecomr  dalag om maraciao,r  mcoams  seelems ,s peor idse p merafonremiraam

bóbemvia e;  oou pvúiab lmicuoi tdoe bleesm é o breiemnt aeçnõgeasja ed os.e";"mais a Natália! Vai ser um
dinheiro bem gasto e sem dor de
cabeça.
Cobram barato e são
profissionais, aproveitem pq
depois que furarem a bolha vai
ser caro."
83c02799fe8c57d93ba9d617c40f5ec29bbb83ca541ada06cc5657a732c8d61c;[];['inflexível'];[];1/23/25 14:17;Manu Gavassi;@manugavassi;6;nov.-24;"o vídeo ficou muito bom, mas
mostrou disponível para regravar algo
decepcionou, porque a expectativa era
caso fosse preciso. Muito tranquila de se
receber um roteiro muito mais criativo,
trabalhar e ainda traz um bônus incrível
diferente, inovador. Ela e a assessora
que é o Kodinha(Pet)!
eram educadas pessoalmente, mas foi
bem chatinha pra trabalhar. Decidia uma
coisa, depois mudava, um inferno.
Estrela";"tenha um roteiro de criação na
manga pra não depender dela,
tenha paciência e trabalhe com
maior nível de detalhamento
possível"
2295abc537d87770a96c990bf2702f4c932b79b30b820f02dce2a11f89529373;['bons resultados', 'engajado'];[];[];1/23/25 14:17;Vinicius Cacofonias;@cacofonias;10;2024;"Experiência excelente. Super
profissional. Entrega até antes do prazo,
faz alterações sem reclamar. Escreve
roteiros muito engraçados. O agente
dele é ótimo também, super simpático e
fácil de dialogar.";"Totalmente recomendado. Sem
dúvida vamos fazer outras vezes."
9b62e4e4915cc3ef65c5570bdc4c28bfa0563a316bc623d673788a403f24cba3;[];['inflexível'];[];1/22/25 11:54;Alvxaro;alvxaro;2;2024;Terrível... Não trabalha com o que foi combinado! Some, não dá satisfação, não entrega! Parece que a marca está fazendo um favor para ele em pagar muitoooo caro pra fazer o básico de um influenciador! Não respeita a equipe! Porém tem números! Não espere datas cumpridas...;(Não informado)
024c792bd5fc8e33f1d5e7198994fa6456fbef4d5515ff323ec4c7311c0fcc13;['bons resultados'];[];[];1/22/25 13:55;Alvaro;@alvxaro;9;2024;Foi o maior budget da campanha e entregou muito resultado. A agenda dele estava apertada, atrasou um pouco na entrega, mas a marca gostou do resultado e entrou nas campanhas mais engajadas da semana. Se quiserem alcance e engajamento, vai sem medo. Só pedir para a marca um pouco de paciência em trabalhar o cronograma de publicação.;(Não informado)
ed61e45728c472b4f61c2c0fcd98f96999ebf5e944a9c56947c86d30d74c1458;['bons resultados'];['não segue briefing'];[];1/22/25 18:21;Álvaro;alvxaro;7;jun.-25;Complicado, ele entrega muito e o conteúdo foi o que mais performou na campanha, porém ele não segue briefing e roteiro, fez o conteúdo totalmente fora e como ele quis. Foi muito bom no final, mas, se o cliente for mais controlador, vai sofrer com ele. Bom conteúdo, boa entrega, mas não segue briefing e formatos sugeridos.;(Não informado)
779d4471ebbf1d0951576c5f04d0c3bed38d0af6df08d664edc96d8d629bc8a6;['engajado'];[];[];1/23/25 11:49;Alvaro Xaro;@alvxaro;10;2022/2023;Foi incrível, ele sempre era atencioso (mudamos algumas datas por conta de viagens, mas ele foi super solícito nas postagens). Seguia o briefing, dava ideias e seguia o que foi acordado. Recomendo, desde que seja bem alinhado e tenha uma verba legal para ter o resultado que ele pode entregar.;(Não informado)
7a7025a3c79a3c751777f049bf73d87f6cc7e856090df32f49304634ae1a9164;[];['rude'];[];1/23/25 11:50;alvaro xaro;@alvxaro;5;2023;O conteúdo performou super bem, mas ele destratou toda a equipe de produção e xingou a representante da marca por ter pedido para fazer algo que já havia sido alinhado anteriormente. Parece que faz um favor. Se quer resultado, faça, mas ele é uma péssima pessoa fora das câmeras.;(Não informado)
